Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
1993,IFK,IFK Goteborg,1,Sweden,Small,1990,0,Goteborg,1021831,51286,Sweden,SE,50
1993,POR,FC Porto,1,Portugal,Small,1990,0,Porto,1272189,38974,Portugal,PT,30
1993,PSV,PSV Eindhoven,1,Netherlands,Small,1990,0,Eindhoven,753778,46945,Netherlands,NL,62
1994,MIL,AC Milan,4,Italy,Big 5,1990,1,Milano,5145657,301366,Italy,IT,58
1994,FCB,FC Barcelona,3,Spain,Big 5,1990,1,Barcelona,4985549,218318,Spain,ES,43
1994,POR,FC Porto,2,Portugal,Small,1990,0,Porto,1272189,38974,Portugal,PT,30
1994,MON,As Monaco,2,France,Big 5,1990,0,Monaco,39244,7424,France,FR,189
1994,SPA,FK Spartak Moscow,1,Russia,East,1990,0,Moscow,12506468,284400,Russia,3,22
1994,GAL,Galatasaray,1,Turkey,Small,1990,0,Istanbul,15462452,237000,Turkey,TR,15
1994,BRE,Werder Bremen,1,Germany,Big 5,1990,0,Bremen,1274611,62088,Germany,DE,48
1994,AND,RSC Anderlecht,1,Belgium,Small,1990,0,Bruxelles / Brussel,2659855,198355,Belgium,BE,74
1995,AJA,AFC Ajax,4,Netherlands,Small,1990,0,Amsterdam,2769100,200944,Netherlands,NL,72
1995,MIL,AC Milan,3,Italy,Big 5,1990,1,Milano,5145657,301366,Italy,IT,58
1995,BMN,FC Bayern,2,Germany,Big 5,1990,0,München,2883373,241407,Germany,DE,83
1995,PSG,Paris SG,2,France,Big 5,1990,0,Paris,12914803,913737,France,FR,70
1995,BEN,SL Benfica,1,Portugal,Small,1990,0,Lisbon,2976356,122547,Portugal,PT,41
1995,FCB,FC Barcelona,1,Spain,Big 5,1990,1,Barcelona,4985549,218318,Spain,ES,43
1995,HAD,Hajduk Split,1,Croatia,East,1990,0,Split,178102,4278,Croatia,HR,24
1995,IFK,IFK Goteborg,1,Sweden,Small,1990,0,Goteborg,1021831,51286,Sweden,SE,50
1996,AJA,AFC Ajax,4,Netherlands,Small,1990,0,Amsterdam,2769100,200944,Netherlands,NL,72
